,ConsumptionDate,ActualConsumption,P7Cons,P2Cons,P1Cons,P9Cons,P3Cons,P4Cons,P5Cons,P6Cons1,P6Sec3Cons2,P6Sec2Cons3,Gen1num1,Gen1num2,Gen2
0,01/04/2019 00:00,135.786,70.488,3.0639999999999996,11.815999999999999,2.388,12.132,8.494,5.268,12.884,0.768,2.16,0.0,0.0,45.93600000000001
1,01/04/2019 00:30,133.386,67.768,3.096,11.815999999999999,2.296,12.23,8.556000000000001,5.303999999999999,13.218,0.77,1.474,0.0,0.0,46.33
2,01/04/2019 01:00,135.312,68.444,3.06,11.815999999999999,2.346,12.136,9.107999999999999,5.518,13.74,0.77,2.162,0.0,0.0,46.233999999999995
3,01/04/2019 01:30,133.94799999999998,69.126,3.1039999999999996,11.82,2.286,12.165999999999999,8.927999999999999,5.494,11.866,0.772,1.386,0.0,0.0,46.303999999999995
4,01/04/2019 02:00,136.016,69.972,3.0460000000000003,11.818,2.346,12.194,9.092,5.466,13.6,0.774,2.108,0.0,0.0,46.302
5,01/04/2019 02:30,135.918,70.408,3.1,11.818,2.274,12.074000000000002,9.116,5.566,12.84,0.772,1.848,0.0,0.0,46.306000000000004
6,01/04/2019 03:00,135.49,70.186,3.1460000000000004,11.818,2.346,12.102,9.177999999999999,5.602,12.475999999999999,0.7759999999999999,1.546,0.0,0.0,46.326
7,01/04/2019 03:30,132.964,66.82600000000001,3.194,11.82,2.434,12.116,9.107999999999999,5.686,13.038,0.774,2.168,0.0,0.0,46.342
8,01/04/2019 04:00,135.64600000000002,69.572,3.1460000000000004,11.824000000000002,2.456,11.97,9.304,6.192,12.415999999999999,0.7759999999999999,1.4240000000000002,0.0,0.0,46.294
9,01/04/2019 04:30,133.69,66.852,3.216,11.824000000000002,2.474,11.988,9.267999999999999,6.3020000000000005,13.058,0.778,2.15,0.0,0.0,46.346000000000004
10,01/04/2019 05:00,131.28799999999998,65.38600000000001,3.182,11.822000000000001,2.51,12.017999999999999,9.16,6.3660000000000005,12.312000000000001,0.7759999999999999,1.442,0.0,0.0,46.321999999999996
11,01/04/2019 05:30,135.528,68.438,3.2119999999999997,11.822000000000001,2.46,12.162,9.113999999999999,6.144,13.312000000000001,0.778,2.15,0.0,0.0,46.33
12,01/04/2019 06:00,135.172,68.916,3.194,11.822000000000001,2.43,12.244000000000002,9.062000000000001,6.13,12.434000000000001,0.778,1.376,0.0,0.0,46.263999999999996
13,01/04/2019 06:30,129.10399999999998,62.662,3.136,11.824000000000002,2.116,12.512,8.612,6.276,13.392000000000001,0.778,2.07,0.0,0.0,46.31
14,01/04/2019 07:00,131.22,65.186,3.17,11.822000000000001,2.102,12.425999999999998,8.554,6.1160000000000005,12.764000000000001,0.78,1.6280000000000001,0.0,0.0,46.33
15,01/04/2019 07:30,134.546,68.528,3.176,11.824000000000002,2.2159999999999997,12.276,8.597999999999999,5.513999999999999,13.182,0.78,2.0540000000000003,0.0,0.0,46.36600000000001
16,01/04/2019 08:00,132.108,67.384,3.234,11.825999999999999,2.024,11.964,8.586,5.8020000000000005,12.075999999999999,0.782,1.446,0.0,0.0,46.35
17,01/04/2019 08:30,128.804,64.476,3.178,11.824000000000002,2.016,11.722000000000001,8.604,5.946000000000001,11.508,0.782,1.838,0.0,0.0,46.33
18,01/04/2019 09:00,131.244,66.9,3.216,11.824000000000002,1.982,10.725999999999999,8.834,5.864,12.462,0.78,1.8719999999999999,0.0,0.0,46.273999999999994
19,01/04/2019 09:30,130.768,67.148,3.28,11.828,2.008,10.698,8.762,5.513999999999999,11.424000000000001,0.784,1.486,0.0,0.0,47.746
20,01/04/2019 10:00,127.05,63.376000000000005,3.364,11.824000000000002,1.9880000000000002,10.665999999999999,8.652000000000001,5.5520000000000005,12.458,0.782,2.16,0.12,0.0,47.294
21,01/04/2019 10:30,129.314,64.834,3.332,11.824000000000002,1.994,10.595999999999998,8.584,5.952000000000001,12.51,0.7859999999999999,1.5759999999999998,0.402,0.0,41.02
22,01/04/2019 11:00,127.094,63.688,3.366,11.82,1.964,10.418,8.452,6.09,11.546,0.784,2.158,0.348,0.0,46.102
23,01/04/2019 11:30,129.54,66.63600000000001,3.364,11.82,2.0,10.084,8.604,6.102,10.968,0.7859999999999999,1.506,0.28800000000000003,0.0,45.528
24,01/04/2019 12:00,134.048,68.816,3.37,11.815999999999999,1.942,9.996,9.044,6.108,13.008,0.7879999999999999,2.0140000000000002,0.218,0.0,43.452
25,01/04/2019 12:30,131.066,68.816,3.3480000000000003,11.818,1.9340000000000002,10.706,8.84,5.93,11.866,0.7859999999999999,1.976,0.17600000000000002,0.0,49.442
26,01/04/2019 13:00,129.42,66.634,3.344,11.818,1.96,11.0,8.943999999999999,5.9079999999999995,11.34,0.804,1.786,0.17800000000000002,0.0,53.248000000000005
27,01/04/2019 13:30,131.144,65.126,3.404,11.818,2.0980000000000003,11.04,8.862,6.084,10.492,0.85,1.4780000000000002,0.158,0.0,49.548
28,01/04/2019 14:00,129.814,67.428,3.3360000000000003,11.822000000000001,2.3080000000000003,11.244000000000002,8.527999999999999,5.9479999999999995,9.048,0.85,1.034,0.168,0.0,45.986000000000004
29,01/04/2019 14:30,129.714,67.34,3.4019999999999997,11.82,2.53,11.298,8.538,5.63,8.818,0.85,1.03,0.18600000000000003,0.0,41.70399999999999
30,01/04/2019 15:00,130.17600000000002,67.29,3.37,11.82,2.562,11.672,8.398,5.522,8.966000000000001,0.852,1.03,0.188,0.0,42.068000000000005
31,01/04/2019 15:30,132.064,67.324,3.3739999999999997,11.825999999999999,2.488,11.734000000000002,8.228,5.513999999999999,9.124,0.8540000000000001,1.028,0.17,0.0,39.518
32,01/04/2019 16:00,132.048,69.092,3.3760000000000003,11.824000000000002,2.42,11.934000000000001,8.248,5.462000000000001,9.212,0.856,0.526,0.156,0.0,39.3
33,01/04/2019 16:30,129.77,69.238,3.3080000000000003,11.822000000000001,2.372,12.18,7.9479999999999995,5.484,9.338,0.86,1.008,0.15,0.0,39.336
34,01/04/2019 17:00,132.126,67.054,3.338,11.824000000000002,2.414,12.29,8.2,5.504,9.094,0.862,1.01,0.158,0.0,40.056
35,01/04/2019 17:30,135.39,69.024,3.27,11.82,2.47,12.38,8.466000000000001,5.356,9.698,0.8640000000000001,1.008,0.15,0.0,40.512
36,01/04/2019 18:00,136.66,71.306,3.3,11.822000000000001,2.476,12.328,8.84,5.406000000000001,10.356,0.87,1.008,0.146,0.0,41.263999999999996
37,01/04/2019 18:30,133.236,71.596,3.272,11.828,2.5180000000000002,12.384,8.85,5.388,10.352,0.87,1.006,0.14800000000000002,0.0,41.29600000000001
38,01/04/2019 19:00,136.252,68.234,3.3339999999999996,11.825999999999999,2.616,12.372,8.828,5.6,10.352,0.872,1.008,0.154,0.0,41.348
39,01/04/2019 19:30,135.636,69.164,3.342,11.822000000000001,2.5580000000000003,12.378,8.756,5.432,10.356,0.8759999999999999,1.006,0.154,0.0,41.324
40,01/04/2019 20:00,136.92,69.88,3.31,11.82,2.54,12.544,8.726,5.45,10.434000000000001,0.88,1.004,0.16,0.0,41.292
41,01/04/2019 20:30,140.274,71.22399999999999,3.338,11.822000000000001,2.544,12.422,8.674,5.566,11.382,0.8859999999999999,1.008,0.162,0.0,41.31399999999999
42,01/04/2019 21:00,139.994,73.664,3.302,11.825999999999999,2.506,12.728,8.838,5.414,11.844000000000001,0.888,1.006,0.162,0.0,40.102
43,01/04/2019 21:30,140.64,72.734,3.3560000000000003,11.828,2.63,12.83,8.857999999999999,5.402,11.812000000000001,0.8959999999999999,1.006,0.16,0.0,40.318000000000005
44,01/04/2019 22:00,139.286,73.146,3.3080000000000003,11.834000000000001,2.5580000000000003,12.832,9.15,5.484,11.54,0.898,1.004,0.166,0.0,40.324
45,01/04/2019 22:30,140.026,72.024,3.364,11.834000000000001,2.552,12.41,8.992,5.438,11.594000000000001,0.904,1.006,0.166,0.0,40.31
46,01/04/2019 23:00,134.46200000000002,73.28399999999999,3.322,11.832,2.59,12.184000000000001,8.746,5.362,10.91,0.912,1.006,0.16,0.0,40.298
47,01/04/2019 23:30,137.328,68.816,3.364,11.828,2.6,12.17,8.604,5.426,9.81,0.9179999999999999,1.008,0.16,0.0,40.32
48,02/04/2019 00:00,139.374,72.85600000000001,3.352,11.832,2.5639999999999996,12.07,8.892000000000001,5.078,12.548,0.92,1.008,0.16,0.0,40.336
49,02/04/2019 00:30,140.746,74.92,3.352,11.825999999999999,2.53,12.134,8.84,5.062,12.005999999999998,0.924,1.006,0.16399999999999998,0.0,40.332
50,02/04/2019 01:00,141.02200000000002,75.556,3.36,11.83,2.448,12.17,8.796,5.096,11.585999999999999,0.294,1.006,0.166,0.0,40.328
51,02/04/2019 01:30,140.236,74.744,3.362,11.828,2.438,12.186,8.956,4.784,11.368,0.09,1.008,0.166,0.0,40.274
52,02/04/2019 02:00,138.39600000000002,72.33800000000001,3.36,11.825999999999999,2.5660000000000003,12.145999999999999,8.962,4.696000000000001,12.192,0.882,1.008,0.162,0.0,40.272
53,02/04/2019 02:30,139.058,73.586,3.322,11.83,2.55,12.214,8.704,4.552,12.222000000000001,0.88,1.008,0.162,0.0,40.284
54,02/04/2019 03:00,138.812,73.322,3.352,11.825999999999999,2.502,12.225999999999999,8.484,4.59,12.214,0.882,1.006,0.16399999999999998,0.0,40.282
55,02/04/2019 03:30,140.054,75.168,3.324,11.824000000000002,2.434,12.145999999999999,8.458,4.558,11.76,0.8859999999999999,1.008,0.16399999999999998,0.0,40.282
56,02/04/2019 04:00,141.17600000000002,75.914,3.37,11.824000000000002,2.62,11.988,8.693999999999999,4.37,12.13,0.8859999999999999,1.008,0.16399999999999998,0.0,40.262
