ConsumptionDate,ActualConsumption,P7Cons,P2Cons,P1Cons,P9Cons,P3Cons,P4Cons,P5Cons,P6Cons1,P6Sec3Cons2,P6Sec2Cons3,Gen1num1,Gen1num2,Gen2,gen_sum
01/10/2018 00:00,120.58200000000001,57.21,2.71,13.632,1.774,12.224,7.652,6.006,10.334000000000001,0.838,0.0,154.44,47.593999999999994,16.322,7.040339999999999
01/10/2018 00:30,123.206,58.038000000000004,2.7119999999999997,13.665999999999999,1.734,12.202,7.667999999999999,6.11,11.82,0.7340000000000001,0.0,154.63,47.974,16.316,7.057079999999999
01/10/2018 01:00,124.634,60.693999999999996,2.7119999999999997,13.63,1.6680000000000001,12.174000000000001,7.856,6.12,10.964,0.0,0.0,154.70600000000002,47.938,15.458,7.0068
01/10/2018 01:30,125.62200000000001,60.76,2.7060000000000004,13.642000000000001,1.72,12.214,8.562000000000001,6.184,10.92,0.268,0.0,155.002,48.083999999999996,16.292,7.0701
01/10/2018 02:00,127.788,62.19,2.702,13.6,1.758,12.24,8.554,6.192,11.854000000000001,0.778,0.0,155.466,47.906000000000006,16.236,7.0753200000000005
01/10/2018 02:30,126.366,62.034,2.702,13.642000000000001,1.682,12.198,8.142000000000001,6.096,11.068,0.778,0.0,155.004,47.77,16.224,7.056659999999999
01/10/2018 03:00,124.35600000000001,58.956,2.7060000000000004,13.616,1.692,12.187999999999999,8.39,5.882000000000001,12.187999999999999,0.782,0.0,155.09799999999998,48.136,16.178,7.0676999999999985
01/10/2018 03:30,124.16799999999999,57.11,2.71,13.642000000000001,1.8119999999999998,12.224,8.224,5.936,13.466,0.7859999999999999,0.0,155.248,48.042,16.284000000000002,7.07574
01/10/2018 04:00,122.736,56.122,2.71,13.624,2.12,12.25,8.148,5.992000000000001,12.664000000000001,0.784,0.0,155.126,47.948,16.324,7.0716600000000005
01/10/2018 04:30,125.14200000000001,58.56,2.7060000000000004,13.606,2.1519999999999997,12.345999999999998,7.268,6.098,13.248,0.7879999999999999,0.0,154.67,48.126000000000005,16.32,7.063079999999999
01/10/2018 05:00,127.76,60.458,2.708,13.607999999999999,2.076,12.2,7.79,6.006,13.658,0.7879999999999999,0.0,154.806,48.24,16.326,7.070940000000001
01/10/2018 05:30,129.65200000000002,62.86600000000001,2.7060000000000004,13.594000000000001,2.124,11.948,7.984,6.047999999999999,13.104000000000001,0.7879999999999999,0.0,154.954,47.948,16.338,7.06734
01/10/2018 06:00,127.89200000000001,61.422,2.7119999999999997,13.607999999999999,2.11,12.004000000000001,8.004,6.15,12.524000000000001,0.792,0.0,155.056,47.913999999999994,16.32,7.068299999999999
01/10/2018 06:30,125.87200000000001,60.023999999999994,2.6439999999999997,13.602,2.046,11.9,7.792000000000001,5.99,12.422,0.794,0.0,154.634,47.056000000000004,16.634,7.048739999999999
01/10/2018 07:00,122.71799999999999,56.482,2.6239999999999997,13.62,2.048,12.046,7.343999999999999,6.0520000000000005,12.772,1.274,0.0,154.452,47.273999999999994,17.322,7.0911
01/10/2018 07:30,127.34,61.778,2.616,13.55,2.05,12.214,7.566,6.042000000000001,11.904000000000002,1.558,0.0,154.67,46.888000000000005,17.317999999999998,7.08582
01/10/2018 08:00,127.50200000000001,61.211999999999996,2.62,13.558,2.126,12.27,7.736000000000001,5.962000000000001,12.19,1.57,0.0,154.59799999999998,46.773999999999994,17.292,7.078679999999999
01/10/2018 08:30,125.522,59.472,2.6260000000000003,13.514000000000001,2.116,12.234000000000002,7.86,5.962000000000001,12.404000000000002,1.58,0.0,154.838,47.211999999999996,17.268,7.09758
01/10/2018 09:00,124.176,56.91,2.6260000000000003,13.552,2.0780000000000003,12.068,8.156,6.007999999999999,13.36,1.5859999999999999,0.0,154.622,47.21,17.254,7.0902
01/10/2018 09:30,127.412,59.956,2.6319999999999997,13.54,2.07,12.0,8.148,6.01,13.35,1.5919999999999999,0.0,154.798,47.001999999999995,17.278,7.090679999999999
01/10/2018 10:00,125.32,57.57,2.6260000000000003,13.526,2.088,12.074000000000002,8.39,6.072,13.13,1.598,0.0,154.8,47.086000000000006,17.276,7.09314
01/10/2018 10:30,125.77600000000001,58.174,2.63,13.522,2.0340000000000003,12.032,8.408,6.028,13.286,1.6019999999999999,0.0,154.856,47.13399999999999,17.29,7.097099999999999
01/10/2018 11:00,123.22399999999999,55.056000000000004,2.636,13.554,1.992,12.014000000000001,8.224,6.042000000000001,13.895999999999999,1.6059999999999999,0.0,154.62,47.15,17.256,7.08846
01/10/2018 11:30,125.902,58.376000000000005,2.6439999999999997,13.572000000000001,2.068,12.078,7.902,6.1,13.554,1.61,0.0,154.028,47.028,16.872,7.044
