,ProductionDate,temp,humidity,barometric,P1prod,P1num1,P1num2,P1num3,P1num4,P1num5,P2num1,P2prod,P3num1,P3num2,P3num3,P3prod,P4prod,P5prod,P6prod,P6Sec1num1,P6Sec2num2,P6Sec3num3,P6Sec4num4,P7num1,P7num2,P7num3,P7num4
0,1/10/2018 0:00,35.38450162,40.37874620000001,1053.3438820000001,4.530813962,12.00221329,12.00382136,454.1906654,457.3174111000001,0.555714402,27.97028689,20.25305446,41.82684682,88.67632409,22.79298748,235.89723419999996,153.4366674,129.3319977,352.974413220339,68562.86296,21147.36788,28454.37677,71945.46871,1225.03502,1280.006601,0.0,32.2
1,1/10/2018 0:30,34.86438276,41.56070741,1053.742448,4.522578185,12.00287576,12.00398323,454.1875,457.3932698,0.746058984,26.79103669,20.01036411,41.38197988,84.26694843,22.02575109,245.89497930000002,105.32368190000001,126.8337095,403.9992140677966,68673.18029,34525.18855,25359.74226,71964.70985,1225.00722,1270.199192,0.0,32.2
2,1/10/2018 1:00,34.70708165,41.16702784,1053.135506,4.527633378,12.00309745,12.00287248,454.21591490000003,457.40894249999997,0.500044548,24.50793453,20.12584369,41.45251373,81.93291448,22.11015733,237.82532319999999,117.34684009999998,129.42634280000001,390.04423474576276,68618.74011,34328.58152,109.2918655,72043.25935,1223.974071,1274.8869339999999,0.0,32.2
3,1/10/2018 1:30,34.59315401,41.23034578,1053.097943,4.526980013,12.00094088,12.00233517,454.1843346,457.35859869999996,0.18448641600000001,24.27476805,20.23765474,40.90706367,84.23814735,22.55256188,238.376984,221.15876459999998,130.5715915,365.28930542372876,68686.21016,24770.93921,9683.655046,72007.80584,1236.7168359999998,1291.933899,0.0,32.2
4,1/10/2018 2:00,34.287583000000005,41.39411320000001,1053.133659,4.534506492,12.00304493,12.00228914,454.200139,457.3779251,0.21641464300000002,24.77449712,20.16367414,40.65311131,84.54413208,22.60941939,230.86858199999998,234.59447290000003,127.39714209999998,336.9553996610169,68640.45397,17908.31626,29797.907260000004,72111.08737000001,1246.097254,1277.930295,0.0,32.2
5,1/10/2018 2:30,33.78891305,45.43479620000001,1053.445255,4.532525056,12.00351045,12.00306728,454.1938194,457.40229510000006,0.659561233,25.47107604,18.76055008,40.86246592,84.77372859,22.67564221,228.22515319999997,236.75085860000002,129.4105338,388.8468810169491,68587.58364,17825.490990000002,29760.188060000004,72032.84967000001,1256.009475,1246.3259070000001,0.0,32.2
6,1/10/2018 3:00,33.64014617,45.42383234,1053.8693449999998,4.521067748,12.00205358,12.00233978,454.18434019999995,457.36443269999995,0.407994696,25.27827513,18.36963093,41.09896557,85.60578024,22.33444482,233.94749249999998,231.63116949999997,127.57809070000002,460.116523220339,68707.66376,17966.380390000002,29697.66893,72240.88486,1253.5669289999998,1254.479586,0.0,32.2
7,1/10/2018 3:30,33.76101253,43.89935761,1054.378007,4.509079967,12.001726199999998,12.00303661,454.18118030000005,457.371534,0.39437740000000004,24.13897751,18.64215371,41.22447337,86.32175162,21.75926581,191.68237919999999,203.53422890000002,131.92126729999998,441.1561383050847,68516.24764,33818.24196,29730.70052,72252.99837999999,1253.392031,1254.200751,0.0,32.2
8,1/10/2018 4:00,33.84426929,45.37473923,1054.626598,4.509129122,12.00206549,12.00172318,454.1875,457.3806022,0.435552789,24.541397600000003,18.84432132,41.81404397,84.15474665,21.81022491,189.062988,227.1214765,135.6544839,558.2006947457627,68596.98069,22984.26791,29665.31763,72238.673,1241.915243,1243.399551,0.0,32.2
9,1/10/2018 4:30,33.18157474,51.19525497,1054.800804,4.522372884,12.00315344,12.00327791,454.2033625,457.4248496,0.544679744,24.13166601,18.84819047,41.19990474,81.43602221,22.78692367,190.3405435,231.45904190000002,137.5719305,491.47939949152544,68499.86283,30442.4931,29638.452999999998,72296.59988,1231.983639,1247.126768,0.0,32.2
10,1/10/2018 5:00,32.93754489,52.68632884,1055.163168,4.530390494,12.00354082,12.00173663,454.1905903,457.4311806,0.7505925809999999,24.46527055,19.54350662,40.70929174,83.79621381,22.76440944,191.6157382,177.9160396,134.6818419,534.0294752542372,68599.31369,34125.48154,29590.17283,72378.10467,1238.154815,1278.565887,0.0,32.2
11,1/10/2018 5:30,32.92936781,51.4393694,1055.2929689999999,4.517272563,12.00248704,12.00394371,454.1812147,457.3805785,0.845110985,27.29930199,20.26300647,40.29175903,75.66316541,18.22079954,199.5675926,227.4706037,136.39499980000002,569.8898215254236,68475.77023,30881.163660000002,29564.701739999997,72227.92021,1238.91925,1290.315484,0.0,32.2
12,1/10/2018 6:00,32.7102166,52.06574427,1054.531725,4.519910138999999,12.00246334,12.00381544,454.19381960000004,457.4185414,0.909719814,28.08774917,19.88027787,38.93565413,70.22187992,16.55787806,240.14034619999998,230.3444136,135.71854409999997,393.9960823728813,68874.61138999999,25387.67761,29570.354580000003,72386.24227,1234.501602,1279.1785810000001,0.0,32.2
13,1/10/2018 6:30,33.05060565,52.2496925,1054.236299,4.531679533,12.00148552,12.001178300000001,454.2222569,457.42802080000007,1.2182533420000001,27.78452677,19.43355285,39.42390205,76.82453394,19.23162729,204.2170834,233.72349359999998,133.8344663,482.1512664406779,68555.88102,34131.39181,29500.33073,72343.61043,1232.303509,1265.9418779999999,0.0,32.2
14,1/10/2018 7:00,32.37866436,55.44437313,1054.467726,4.524254107,12.0038491,12.00299967,454.20961789999996,457.4248613,0.953496923,27.37568412,19.73600244,39.83650431,83.24197444,22.40335263,233.25335409999997,201.9598123,132.54409840000002,496.11166372881354,68625.62482000001,34056.52873,44815.11125,81172.28069,1231.013991,1249.9291,0.0,32.2
15,1/10/2018 7:30,32.63507686,54.11642932,1054.718308,4.52089225,12.00222705,12.00386187,454.2348955,457.4375001,0.676863125,28.60391786,19.80849203,40.54888507,88.01081620000001,21.572443600000003,237.977851,192.7509072,137.5962561,381.78414067796604,68688.16552000001,33934.76661,55389.95646,89564.28126,1238.880134,1248.421556,0.0,32.2
16,1/10/2018 8:00,33.30314393,51.374417,1054.8682720000002,4.536030556,12.00397344,12.00172025,454.2886116,457.45329879999997,0.49665439299999997,27.75336651,19.65896677,41.59923452,84.26225469,22.26940526,238.8579884,210.9705594,138.3787042,450.1370369491525,68663.79998,34017.4487,55222.11404,88915.51289,1230.210413,1252.915843,0.0,32.2
