ProductionDate,temp,humidity,barometric,P1prod,P1num1,P1num2,P1num3,P1num4,P1num5,P2num1,P2prod,P3num1,P3num2,P3num3,P3prod,P4prod,P5prod,P6prod,P6Sec1num1,P6Sec2num2,P6Sec3num3,P6Sec4num4,P7num1,P7num2,P7num3,P7num4
1/10/2018 0:00,35.38450162,40.3787462,1053.343882,4.530813962,12.00221329,12.00382136,454.1906654,457.3174111,0.555714402,27.97028689,20.25305446,41.82684682,88.67632409,22.79298748,235.8972342,153.4366674,129.3319977,2082.549038,68562.86296,21147.36788,28454.37677,71945.46871,1225.03502,1280.006601,0,32.2
1/10/2018 0:30,34.86438276,41.56070741,1053.742448,4.522578185,12.00287576,12.00398323,454.1875,457.3932698,0.746058984,26.79103669,20.01036411,41.38197988,84.26694843,22.02575109,245.8949793,105.3236819,126.8337095,2383.595363,68673.18029,34525.18855,25359.74226,71964.70985,1225.00722,1270.199192,0,32.2
1/10/2018 1:00,34.70708165,41.16702784,1053.135506,4.527633378,12.00309745,12.00287248,454.2159149,457.4089425,0.500044548,24.50793453,20.12584369,41.45251373,81.93291448,22.11015733,237.8253232,117.3468401,129.4263428,2301.260985,68618.74011,34328.58152,109.2918655,72043.25935,1223.974071,1274.886934,0,32.2
1/10/2018 1:30,34.59315401,41.23034578,1053.097943,4.526980013,12.00094088,12.00233517,454.1843346,457.3585987,0.184486416,24.27476805,20.23765474,40.90706367,84.23814735,22.55256188,238.376984,221.1587646,130.5715915,2155.206902,68686.21016,24770.93921,9683.655046,72007.80584,1236.716836,1291.933899,0,32.2
1/10/2018 2:00,34.287583,41.3941132,1053.133659,4.534506492,12.00304493,12.00228914,454.200139,457.3779251,0.216414643,24.77449712,20.16367414,40.65311131,84.54413208,22.60941939,230.868582,234.5944729,127.3971421,1988.036858,68640.45397,17908.31626,29797.90726,72111.08737,1246.097254,1277.930295,0,32.2
1/10/2018 2:30,33.78891305,45.4347962,1053.445255,4.532525056,12.00351045,12.00306728,454.1938194,457.4022951,0.659561233,25.47107604,18.76055008,40.86246592,84.77372859,22.67564221,228.2251532,236.7508586,129.4105338,2294.196598,68587.58364,17825.49099,29760.18806,72032.84967,1256.009475,1246.325907,0,32.2
1/10/2018 3:00,33.64014617,45.42383234,1053.869345,4.521067748,12.00205358,12.00233978,454.1843402,457.3644327,0.407994696,25.27827513,18.36963093,41.09896557,85.60578024,22.33444482,233.9474925,231.6311695,127.5780907,2714.687487,68707.66376,17966.38039,29697.66893,72240.88486,1253.566929,1254.479586,0,32.2
1/10/2018 3:30,33.76101253,43.89935761,1054.378007,4.509079967,12.0017262,12.00303661,454.1811803,457.371534,0.3943774,24.13897751,18.64215371,41.22447337,86.32175162,21.75926581,191.6823792,203.5342289,131.9212673,2602.821216,68516.24764,33818.24196,29730.70052,72252.99838,1253.392031,1254.200751,0,32.2
1/10/2018 4:00,33.84426929,45.37473923,1054.626598,4.509129122,12.00206549,12.00172318,454.1875,457.3806022,0.435552789,24.5413976,18.84432132,41.81404397,84.15474665,21.81022491,189.062988,227.1214765,135.6544839,3293.384099,68596.98069,22984.26791,29665.31763,72238.673,1241.915243,1243.399551,0,32.2
1/10/2018 4:30,33.18157474,51.19525497,1054.800804,4.522372884,12.00315344,12.00327791,454.2033625,457.4248496,0.544679744,24.13166601,18.84819047,41.19990474,81.43602221,22.78692367,190.3405435,231.4590419,137.5719305,2899.728457,68499.86283,30442.4931,29638.453,72296.59988,1231.983639,1247.126768,0,32.2
