ProductionDate,P1prod,P1num1,P1num2,P1num3,P1num4,P1num5,P2num1,P2prod,P3num1,P3num2,P3num3,P3prod,P4prod,P5prod,P6prod,P6Sec1num1,P6Sec2num2,P6Sec3num3,P6Sec4num4,P7num1,P7num2,P7num3,P7num4,temp,humidity,barometric
01/04/2019 00:00,4.328005371,12.5020752,12.50205748,451.9207428,458.0178571,18.4635244,35.94159399,9.806510261,45.89143096,86.79527508,30.97941856,247.5481872,218.0634564,133.9791031,1733.522295,67589.30601,32762.55599,25715.46542,71264.26502,0,1224.776396,1231.045806,33.42,17.14151985,53.24687746,1054.795023
01/04/2019 00:30,#VALUE!,12.50318444,12.50169909,451.92875,457.9833984,8.313875144,35.50100815,9.969856372,45.89349291,88.98671473,30.24462707,290.5131337,182.2071335,131.5720705,2883.002963,67692.12008,21299.38301,25700.90162,78685.71011,0,1230.124151,1238.652629,33.42,17.11538289,54.49208724,1054.758814
01/04/2019 01:00,4.338688965,12.50146725,12.50278834,451.9283537,457.9888393,5.343192349,35.54597252,8.942384939,45.89555486,91.53892485,30.79505622,323.4596395,245.8793711,132.949629,3653.811375,67609.89071,32765.16289,25632.32346,88284.15858,0,1236.334676,1248.552187,33.42,17.46448805,52.45964061,1054.709565
01/04/2019 01:30,#VALUE!,12.50415635,12.50222659,451.9465726,458.0191761,13.09913971,34.75241686,9.481934279,45.89761681,90.49014426,31.32485775,331.2311563,251.027665,132.4448795,2908.51385,67792.24203,21264.04105,25608.49199,79827.52793,0,1231.295181,1231.888633,33.42,17.67018727,51.05924802,1054.660224
01/04/2019 02:00,#VALUE!,12.50283946,12.50212338,451.9617077,457.9585598,12.84955516,33.10495377,9.469089068,45.89966213,88.73629772,30.94197442,319.8690271,252.807699,133.2944362,2623.444265,67609.5657,31285.44056,25564.95094,70712.61733,0,1222.362085,1215.34768,33.42,17.58185786,50.76449585,1054.582985
01/04/2019 02:30,#VALUE!,12.50244141,12.50396079,451.9658203,458.0333333,6.167653307,33.10495377,9.522692582,45.90044785,88.83266986,31.46813684,306.5370278,252.6270026,135.7838582,3012.261594,67653.01305,28521.68782,25532.8734,70795.20114,0,1216.30873,1218.585778,33.42,17.39529671,49.64579234,1054.464709
01/04/2019 03:00,#VALUE!,12.50428135,12.5044593,451.9619565,458.0962838,5.021676042,33.13444821,9.594609146,45.90044785,89.425679,30.86177217,341.0092559,244.6923913,140.1887884,3492.319138,67598.55396,23472.05688,25506.31575,71010.09745,0,1216.899461,1228.432879,33.42,17.02939523,48.03118707,1054.16326
01/04/2019 03:30,#VALUE!,12.50219787,12.50484467,451.9920213,458.0328664,5.220132715,34.40201526,9.752109951,45.90044785,88.09207751,28.82150704,342.2589997,239.8475367,138.0176033,2779.204126,67502.68472,32785.12702,25476.09242,71175.24848,0,1219.353534,1226.901487,33.42,16.59747528,50.96296645,1054.029457
01/04/2019 04:00,4.350733887,12.5039268,12.50285487,451.99375,458.1003289,5.171254799,36.68571385,10.03586953,45.90044785,86.53274251,27.54138745,310.8421529,231.3329761,152.928654,3513.142512,67660.1969,21388.94379,25425.80808,76925.81214,0,1217.363866,1214.095854,33.42,16.23539999,52.60198104,1054.259613
01/04/2019 04:30,4.352747559,12.50241352,12.50141144,452.0208333,458.0722656,5.355546254,37.40130655,11.0968956,45.89156652,85.01664843,25.92748722,347.5564343,219.0985081,166.2704304,2872.54373,67494.51522,33353.66557,25393.9092,88216.5257,0,1214.786706,1202.422333,33.42,15.89176423,54.66279293,1054.329832
01/04/2019 05:00,#VALUE!,12.50164089,12.50266224,452.0208333,458.1145833,5.303111423,37.33289424,11.2432498,45.81996748,84.42426835,25.45561752,345.1646127,234.6909438,164.9217936,2992.002563,67483.3327,21509.08989,25345.89379,77715.76679,0,1215.235884,1219.335479,33.42,16.19072185,53.78328401,1054.413232
01/04/2019 05:30,4.343182373,12.50199526,12.50175476,452.0208333,458.1145833,5.369201191,37.21957371,10.84201139,45.81379487,85.3100256,26.75710479,332.1036441,229.1535588,165.3276307,2721.039529,67641.09714,33002.0694,25334.75094,70626.34852,0,1220.826517,1221.965555,33.42,16.49226007,52.50944467,1054.538099
01/04/2019 06:00,#VALUE!,12.50198588,12.502985,452.0208333,[-11057] Not Enough Values For Calculation,5.625710957,37.2289971,10.95817509,45.81209159,87.53933867,29.45638631,317.094457,244.0429082,162.4956155,2546.634383,67323.81924,21056.32275,25263.75713,70755.42641,0,1226.248032,1229.757246,33.42,16.61069304,47.33334426,1054.723236
01/04/2019 06:30,#VALUE!,12.50196496,12.50200845,452.0208333,458.1066176,8.095187891,37.49735027,10.89508569,45.81038832,89.4617846,30.65062592,287.5487858,199.0619417,162.1123859,3508.489895,67485.98593,31535.6907,25261.3242,70922.78543,0,1231.815618,1234.552393,33.42,17.00146107,41.28973499,1055.008513
01/04/2019 07:00,#VALUE!,12.50285598,12.5023862,452.15625,458.25,9.404058618,37.77402795,10.76184053,45.80868504,89.31544417,28.90019143,331.5811716,188.7048075,161.3406228,3811.892929,67455.79077,24657.55301,25203.12662,70946.28094,0,1232.553821,1233.711996,33.42,16.93653562,41.13632977,1055.380856
01/04/2019 07:30,4.362243945,12.50282981,12.50244141,452.2916667,[-11057] Not Enough Values For Calculation,8.835129694,38.05070562,10.7202635,45.52427689,87.85012999,25.68939119,293.1465422,185.3915388,133.2005043,2711.124729,67528.51755,31552.3418,25153.23861,76847.10175,0,1233.018495,1235.087204,33.42,17.16557423,39.49581531,1055.560496
01/04/2019 08:00,4.337300781,12.50251841,12.50096693,[-11057] Not Enough Values For Calculation,458.3854167,9.130385467,38.3273833,10.87814257,45.70254025,81.48493844,23.54521581,214.8829535,182.0752307,104.8708639,3244.777962,67588.66287,21458.6034,25118.42119,88014.97481,0,1235.707918,1227.316458,33.42,17.35036296,37.61262191,1055.715826
01/04/2019 08:30,#VALUE!,12.50161073,12.50255467,[-11057] Not Enough Values For Calculation,458.25,9.416860425,38.56334432,10.65103794,45.78227562,76.22707235,23.35636535,306.40965,182.4122302,189.0745098,2500.836789,67532.45983,29205.39518,25083.00446,77424.20757,0,1233.479313,659.7124743,33.42,17.62883663,36.76757037,1056.059013
01/04/2019 09:00,4.3474764,12.5015942,12.50313528,452.0885417,457.3020833,9.007730426,38.69875805,10.64611467,45.82440607,75.09564698,24.95510131,246.9305838,174.919929,152.370218,2709.739453,67624.08025,28958.1863,25008.77261,70472.85929,0,775.4676355,983.8870928,33.42,18.20655183,35.56154534,1056.228431
01/04/2019 09:30,4.351196777,12.50265682,12.50189209,452.0208333,458.1145833,7.23146297,39.44837318,9.767787852,45.83193713,72.54977373,22.02563321,184.9734555,225.9433956,138.3623568,2174.511627,67493.75946,23298.62872,25018.39815,70542.59941,0,569.2735245,1084.661412,33.42,19.12269061,34.29930531,1056.246688
01/04/2019 10:00,4.35204248,12.50126625,12.50277433,452.31875,458.25,3.169622491,42.24246788,10.58937469,45.83946819,72.45662087,23.09520859,215.652726,182.3761676,122.2321804,3109.313985,67610.29034,33120.40426,25026.96601,70631.99261,0,661.0224408,1188.679414,33.42,20.10511636,33.71461043,1056.128323
01/04/2019 10:30,4.393678467,12.50208613,12.50189209,452.2916667,458.09375,5.347364166,41.49820538,12.30228799,45.84699924,71.12313608,23.73806168,244.4261257,175.8904207,139.4621186,3141.97411,67660.85494,23476.98311,25007.24425,70752.77784,0,1066.425397,1227.091916,33.42,20.82252327,33.81747956,1055.809128
01/04/2019 11:00,4.373353027,12.50189753,12.50183427,452.31875,458.0758929,15.81874894,41.79928033,12.58262924,45.8545303,71.14385071,25.43593973,258.0273671,179.6908593,154.9036997,3398.346769,67534.00092,33122.8175,25022.79918,70745.97014,0,1163.598652,1222.905566,33.42,21.30416698,33.19160737,1055.4251
